Division,Weight Class,Lift,Name,Kilos,Pounds,Date,Location,Event,Status,HasRecord
JUNIOR MEN 18 TO 19,82.5kg/181.7lb,Bench,Krsna-Chaitanya Vigliotti,137.5,303.1,05/29/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,82.5kg/181.7lb,Deadlift,Javarryon Fort,287.5,633.8,05/16/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,82.5kg/181.7lb,TOTAL,Javarryon Fort,677.5,1493.6,05/16/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,90kg/198.2lb,Squat,Macallan Butzer,247.5,545.6,02/03/2024,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,90kg/198.2lb,Bench,Nathan Wloszektherens,152.5,336.2,12/11/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,90kg/198.2lb,Deadlift,Landen Wagner,287.5,633.83,2025-11-15,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,90kg/198.2lb,TOTAL,Landen Wagner,670.0,1477.1,2025-11-15,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,100kg/220lb,Squat,Jack Pacek,275.0,606.3,01/29/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,100kg/220lb,Bench,Nic Burris,170.0,374.8,03/13/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,100kg/220lb,Deadlift,Macallan Butzer,317.5,699.97,2025-05-10,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,100kg/220lb,TOTAL,Macallan Butzer,755.0,1664.49,2025-05-10,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,110kg/242lb,Squat,Quincy Sellers,310.0,683.4,09/11/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,110kg/242lb,Bench,Quincy Sellers,197.5,435.4,09/11/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,110kg/242lb,Deadlift,Quincy Sellers,325.0,716.5,09/11/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,110kg/242lb,TOTAL,Quincy Sellers,832.5,1835.3,09/11/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,125kg/275lb,Squat,Anthony Bryarly,277.5,611.8,02/26/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,125kg/275lb,Bench,Anthony Bryarly,167.5,369.3,10/02/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,125kg/275lb,Deadlift,Anthony Bryarly,285.0,628.3,02/26/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,125kg/275lb,TOTAL,Anthony Bryarly,727.5,1603.9,02/26/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,140kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,140kg/308.5lb,Bench,Michael Boblitt,150.0,330.7,04/15/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,140kg/308.5lb,Deadlift,Michael Boblitt,235.0,518.1,04/15/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,140kg/308.5lb,TOTAL,Michael Boblitt,657.5,1449.5,04/15/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,140+kg/SHW,Squat,Harley Redd,312.5,688.9,06/08/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,140+kg/SHW,Bench,Harley Redd,177.5,391.3,06/08/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,140+kg/SHW,Deadlift,Harley Redd,280.0,617.3,06/08/2019,ohio,raw-powerlifting,drug-tested,True
